gudClssCd,routeCd,routeNm,rprsTelNo,svarAddr,svarCd,svarNm,sliced_rest,wifi,satisfaction,electric_car,nursing_room,pharmacy,Braile_block,pet,latitude,longitude,hdqrCd
1,140,함양울산선,0529334242,울산 울주군 삼동면 보은리 산 213-15 외 10필지,578,울주(울산)휴게소,울주(울산),True,,False,True,False,False,False,35.510821,129.130435,700000
0,140,함양울산선,0529335242,울산 울주군 삼동면 보은리 산 193-1 외 필지,577,울주(함양)휴게소,울주(함양),True,,False,True,False,False,False,35.5131601,129.128519,700000
1,251,호남선,0613632766,전남 곡성군 겸면 가정리 산96-6,131,곡성(순천)휴게소,곡성(순천),True,,True,True,False,True,False,35.258498,127.150737,500000
0,251,호남선,0613628300,전남 곡성군 겸면 가정리 347,130,곡성(천안)휴게소,곡성(천안),True,,True,True,False,True,False,35.259632,127.152741,500000
1,251,호남선,0613949990,전라남도 장성군 북이면 호남고속도로 107 (백양사휴게소(하)),127,백양사(순천)휴게소,백양사(순천),True,,True,True,False,True,False,35.394425,126.805361,500000
0,251,호남선,0613945177,전라남도 장성군 북일면 호남고속도로 108 (백양사휴게소(상행)) 박산리 158,126,백양사(천안)휴게소,백양사(천안),True,1.0,True,True,False,True,False,35.393018,126.807376,500000
1,251,호남선,0617554982,전남 순천시 서면 비월리 산169-2,138,순천(순천)휴게소,순천(순천),True,1.0,True,True,False,True,False,35.0085501,127.445044,500000
1,251,호남선,0638365168,전북 익산시 여산면 호산리 32-6,119,여산(순천)휴게소,여산(순천),True,,True,True,False,True,False,36.048555,127.102333,800000
0,251,호남선,0638365280,전북 익산시 여산면 호산리 24-1,118,여산(천안)휴게소,여산(천안),True,,False,True,False,True,False,36.048528,127.104716,800000
1,251,호남선,07043258112,전남 영암군 학산면 상월리 산 117-7,406,영암(광양)휴게소,영암(광양),False,,False,False,False,False,False,,,500000
0,251,호남선,07043258112,전남 영암군 학산면 상월리 산 117-5,407,영암(목포)휴게소,영암(목포),False,,False,False,False,False,False,,,500000
1,251,호남선,0632274114,서울 송파구 송파동 185-5,355,이서(순천)휴게소,이서(순천),True,,True,True,False,True,False,35.803936,127.023705,800000
0,251,호남선,0632362592,서울 송파구 송파동 185-5,358,이서(천안)휴게소,이서(천안),True,,True,True,False,True,False,35.801932,127.025759,800000
1,251,호남선,0635320510,전북 정읍시 북면 남산리 19-1,123,정읍녹두장군(순천)휴게소,정읍녹두장군(순천),True,,True,True,False,False,False,35.601465,126.862006,800000
0,251,호남선,0635322373,전북 정읍시 북면 남산리 20-5,122,정읍녹두장군(천안)휴게소,정읍녹두장군(천안),True,,True,True,False,False,False,35.599975,126.864336,800000
1,251,호남선,0617544988,전남 순천시 주암면 고산리 252-2,134,주암(순천)휴게소,주암(순천),True,2.0,True,True,False,True,False,35.076197,127.2641001,500000
0,251,호남선,0617542229,전남 순천시 주암면 고산리 57-4,135,주암(천안)휴게소,주암(천안),True,1.0,True,True,False,True,False,35.076587,127.265762,500000
1,2510,호남선의 지선,0417327694,충남 논산시 벌곡면 호남지선고속도로25,240,벌곡(논산)휴게소,벌곡(논산),True,,True,True,False,True,False,36.217974,127.273468,800000
0,2510,호남선의 지선,0417345250,충남 논산시 벌곡면 양산리124-1,238,벌곡(대전)휴게소,벌곡(대전),True,,True,True,False,True,False,36.210451,127.270542,800000
1,2510,호남선의 지선,0420000000,대전광역시 유성구 방현동 86 북대전IC(논산)졸음쉼터,561,북대전(논산)졸음쉼터,북대전(논산)졸음쉼터,False,,False,False,False,False,False,,,400000
